"Age","kmDriven","Transmission","Owner","FuelType","AskPrice","LogAskPrice","isLuxury","kmPerYear","Brand_model"
23,98000,2,2,3,195000,12.1807548375459,0,4260.86956521739,74
15,149728.625,2,2,1,375000,12.8346813049525,0,9981.90833333333,365
14,77246,2,1,1,184999,12.1281056986404,0,5517.57142857143,386
7,83500,2,2,1,565000,13.2445810101286,0,11928.5714285714,218
5,45000,1,1,3,685000,13.4371741172444,0,9000,190
10,83000,1,1,1,1350000,14.1156151504146,1,8300,27
10,149728.625,2,2,1,1025000,13.8402031705546,0,14972.8625,365
5,25000,1,2,1,5950000,15.5989017775218,1,5000,20
4,33759,2,2,3,622000,13.3406953717213,0,8439.75,210
7,69713,2,2,3,649000,13.3831879956862,1,9959,61
6,70000,1,1,3,395000,12.8866410438833,0,11666.6666666667,187
3,25000,1,1,1,2900000,14.8802212949567,0,8333.33333333333,134
12,72700,2,2,3,240000,12.3883942023241,0,6058.33333333333,219
17,121931,1,2,3,201350,12.2127999662796,0,7172.41176470588,357
3,32000,1,2,3,11800000,16.2836100894359,1,10666.6666666667,259
6,130000,2,2,1,330000,12.7068479334427,0,21666.6666666667,119
4,68000,2,1,1,1045000,13.859527443381,0,17000,135
8,65000,2,2,1,785000,13.5734389967645,0,8125,199
7,59000,1,2,3,555000,13.2267233927286,0,8428.57142857143,199
9,61000,1,2,1,1500000,14.2209756660724,1,6777.77777777778,19
5,77000,1,2,1,2399000,14.6905625418218,1,15400,62
7,107000,1,1,1,1325000,14.0969230174025,0,15285.7142857143,366
14,99000,2,1,3,295000,12.594730635322,0,7071.42857142857,74
9,42000,1,2,1,1050000,13.8643007221337,1,4666.66666666667,4
5,48073,1,2,3,355000,12.7798730684576,0,9614.6,306
5,32618,1,1,3,1250000,14.0386541092785,0,6523.6,268
12,70000,2,2,1,315000,12.6603279178078,0,5833.33333333333,219
10,51000,1,2,3,345000,12.7512996960135,0,5100,193
6,137000,2,1,1,845000,13.6470919063393,0,22833.3333333333,224
1,1996,1,1,1,4195000,15.2494038978834,0,1996,355
7,90000,2,2,1,1950000,14.4833399305399,0,12857.1428571429,366
13,84000,2,2,1,490000,13.1021606700868,0,6461.53846153846,365
6,53000,1,1,1,2950000,14.897315728316,1,8833.33333333333,392
3,17000,2,1,3,685000,13.4371741172444,0,5666.66666666667,116
6,70000,2,2,3,749000,13.5264942624994,0,11666.6666666667,199
1,5000,1,1,3,1600000,14.28551418721,0,5000,90
2,47110,2,2,1,1695000,14.3431932987967,0,23555,88
5,35000,2,1,3,585000,13.279367126214,0,7000,104
5,101570,1,1,1,4200000,15.2505950832536,1,20314,247
3,42000,2,2,3,675000,13.4224679698547,0,14000,380
6,30000,2,2,3,630000,13.3534750983677,0,5000,190
8,82100,2,2,1,465000,13.0497926845695,0,10262.5,118
12,90000,1,2,1,899000,13.7090383134538,1,7500,6
13,149728.625,2,2,1,1125000,13.9332935936207,0,11517.5865384615,363
